Ticker,Company,Date,Time,Quarter Ending,Market Cap
7203,Toyota Motor Corporation,06-Feb-26,,Dec-25,2.96741E+11
PM,Philip Morris International Inc.,06-Feb-26,,Dec-25,2.79323E+11
8035,Tokyo Electron Limited,06-Feb-26,,Dec-25,1.23043E+11
SBIN,State Bank of India,07-Feb-26,,Dec-25,1.08265E+11
GLE,Société Générale Société anonyme,06-Feb-26,,Dec-25,66078410000
9433,KDDI Corporation,06-Feb-26,,Dec-25,64477070000
KNEBV,KONE Oyj,06-Feb-26,,Dec-25,37852530000
UI,Ubiquiti Inc.,06-Feb-26,,Dec-25,33298410000
8801,"Mitsui Fudosan Co., Ltd.",06-Feb-26,,Dec-25,32377910000
KOG,Kongsberg Gruppen ASA,06-Feb-26,,Dec-25,28974040000
CBOE,"Cboe Global Markets, Inc.",06-Feb-26,Pre Market,Dec-25,28625510000
ORSTED,Ørsted A/S,06-Feb-26,,Dec-25,27792170000
8830,"Sumitomo Realty & Development Co., Ltd.",06-Feb-26,,Dec-25,24956840000
BIIB,Biogen Inc.,06-Feb-26,Pre Market,Dec-25,24120790000
AER,AerCap Holdings N.V.,06-Feb-26,Pre Market,Dec-25,23730020000
CG,The Carlyle Group Inc.,06-Feb-26,Pre Market,Dec-25,23650140000
CNC,Centene Corporation,06-Feb-26,Pre Market,Dec-25,22486950000
COLO B,Coloplast A/S,06-Feb-26,,Dec-25,20204970000
TEL,Telenor ASA,06-Feb-26,,Dec-25,19382340000
SAB,"Banco de Sabadell, S.A.",06-Feb-26,,Dec-25,18784410000
INDU A,AB Industrivärden (publ),06-Feb-26,,Dec-25,17630690000
EMSN,EMS-CHEMIE HOLDING AG,06-Feb-26,,Dec-25,16840920000
NVT,nVent Electric plc,06-Feb-26,Pre Market,Dec-25,15740650000
C38U,CapitaLand Integrated Commercial Trust,06-Feb-26,,Dec-25,13873210000
A316140,Woori Financial Group Inc.,06-Feb-26,,Dec-25,13607320000
FBK,FinecoBank Banca Fineco S.p.A.,06-Feb-26,,Dec-25,13184990000
SIEMENS,Siemens Limited,06-Feb-26,,Dec-25,12692150000
PAA,"Plains All American Pipeline, L.P.",06-Feb-26,Pre Market,Dec-25,11611560000
ROIV,Roivant Sciences Ltd.,06-Feb-26,Pre Market,Dec-25,11042200000
SHREECEM,Shree Cement Limited,06-Feb-26,,Dec-25,11037990000
SKA B,Skanska AB (publ),06-Feb-26,,Dec-25,10800610000
FRHC,Freedom Holding Corp.,06-Feb-26,,Dec-25,10457280000
KOMB,"Komercní banka, a.s.",06-Feb-26,,Dec-25,9511890000
ISCTR,Türkiye Is Bankasi A.S.,06-Feb-26,,Dec-25,9125620000
TUPRS,Türkiye Petrol Rafinerileri A.S.,06-Feb-26,,Dec-25,8556100000
AN,"AutoNation, Inc.",06-Feb-26,Pre Market,Dec-25,8460480000
BALD B,Fastighets AB Balder (publ),06-Feb-26,,Dec-25,8405360000
9684,"Square Enix Holdings Co., Ltd.",06-Feb-26,,Dec-25,8036290000
A272210,"Hanwha Systems Co., Ltd.",06-Feb-26,,Dec-25,7512530000
LOTB,Lotus Bakeries NV,06-Feb-26,,Dec-25,7223300000
MRF,MRF Limited,06-Feb-26,,Dec-25,7088960000
A326030,"SK Biopharmaceuticals Co., Ltd.",06-Feb-26,,Dec-25,6834990000
MKTX,MarketAxess Holdings Inc.,06-Feb-26,,Dec-25,6699420000
3289,Tokyu Fudosan Holdings Corporation,06-Feb-26,,Dec-25,6494290000
PIPR,Piper Sandler Companies,06-Feb-26,Pre Market,Dec-25,6475450000
8439,Tokyo Century Corporation,06-Feb-26,,Dec-25,6370870000
VALMT,Valmet Oyj,06-Feb-26,,Dec-25,6136030000
KALYANKJIL,Kalyan Jewellers India Limited,06-Feb-26,,Dec-25,5786270000
9143,"SG Holdings Co.,Ltd.",06-Feb-26,,Dec-25,5540530000
2702,"McDonald's Holdings Company (Japan), Ltd.",06-Feb-26,,Dec-25,5292370000
4751,"CyberAgent, Inc.",06-Feb-26,,Dec-25,5132110000
6448,"Brother Industries, Ltd.",06-Feb-26,,Dec-25,5015110000
WTM,"White Mountains Insurance Group, Ltd.",06-Feb-26,,Dec-25,4681150000
EMBASSY,Embassy Office Parks REIT,06-Feb-26,,Dec-25,4603700000
8359,"Hachijuni Nagano Bank, Ltd.",06-Feb-26,,Dec-25,4600720000
LAGR B,Lagercrantz Group AB (publ),06-Feb-26,,Dec-25,4576690000
A377300,Kakao Pay Corp.,06-Feb-26,,Dec-25,4393920000
5021,"Cosmo Energy Holdings Co., Ltd.",06-Feb-26,,Dec-25,4373480000
VONN,Vontobel Holding AG,06-Feb-26,,Dec-25,4251610000
IMVT,"Immunovant, Inc.",06-Feb-26,,Dec-25,4129510000
PAGP,"Plains GP Holdings, L.P.",06-Feb-26,Pre Market,Dec-25,3702490000
A138930,BNK Financial Group Inc.,06-Feb-26,,Dec-25,3251020000
1721,COMSYS Holdings Corporation,06-Feb-26,,Dec-25,3208500000
1951,"EXEO Group, Inc.",06-Feb-26,,Dec-25,3207730000
5214,"Nippon Electric Glass Co., Ltd.",06-Feb-26,,Dec-25,2974420000
KIMS,Krishna Institute of Medical Sciences Limited,06-Feb-26,,Dec-25,2951890000
6976,"Taiyo Yuden Co., Ltd.",06-Feb-26,,Dec-25,2913400000
7729,"Tokyo Seimitsu Co., Ltd.",06-Feb-26,,Dec-25,2876770000
APAM,Aperam S.A.,06-Feb-26,,Dec-25,2867720000
